Date,PlanningType,Company,store,Brand Code,Budget Sales Amount,Budget Margin Amount,Budget Cost Amount,FashionCOGS
27/02/2022,BUDGET,cocouae,C555,coco,128551.431,72240.68284,56310.30623,45365.00012
10/03/2022,BUDGET,cocouae,C555,coco,122576.2244,67222.73378,55312.92895,44919.83023
17/03/2022,BUDGET,cocouae,C555,coco,122533.0104,67201.54899,55348.24255,44891.88392
16/02/2022,BUDGET,cocouae,C555,coco,128527.2543,72241.21957,56270.8868,45359.73831
17/02/2022,BUDGET,cocouae,C555,coco,128552.5317,72229.64689,56302.63984,45344.69073
03/03/2022,BUDGET,cocouae,C555,coco,122568.7256,67213.06316,55335.97987,44913.71717
06/03/2022,BUDGET,cocouae,C555,coco,122548.6291,67214.83126,55318.06783,44913.30091
20/03/2022,BUDGET,cocouae,C555,coco,122547.7225,67200.27886,55320.56191,44903.40704
21/03/2022,BUDGET,cocouae,C555,coco,122547.4878,67177.83526,55307.63427,44918.07424
18/03/2022,BUDGET,cocouae,C555,coco,122577.6004,67195.3776,55332.40463,44896.74614
25/03/2022,BUDGET,cocouae,C555,coco,122552.7196,67186.6668,55322.44884,44933.62948
27/03/2022,BUDGET,cocouae,C555,coco,122568.5828,67204.71164,55350.40831,44897.17719
19/04/2022,BUDGET,cocouae,C555,coco,109955.7027,61807.4146,48143.72469,38808.82419
21/04/2022,BUDGET,cocouae,C555,coco,109983.9541,61813.81714,48168.01189,38828.19412
28/03/2022,BUDGET,cocouae,C555,coco,122565.6153,67180.79039,55333.23048,44911.05219
30/03/2022,BUDGET,cocouae,C555,coco,122535.2636,67197.5605,55309.61155,44913.36582
14/04/2022,BUDGET,cocouae,C555,coco,109960.5674,61789.97904,48164.98844,38799.32915
16/04/2022,BUDGET,cocouae,C555,coco,109979.3019,61770.75735,48147.05826,38818.76316
01/05/2022,BUDGET,cocouae,C555,coco,99998.05624,56184.71028,43776.08738,35280.0266
05/04/2022,BUDGET,cocouae,C555,coco,109953.4109,61802.31485,48165.26671,38822.65043
06/04/2022,BUDGET,cocouae,C555,coco,109961.469,61804.64067,48151.46175,38814.42168
23/04/2022,BUDGET,cocouae,C555,coco,109954.7851,61766.75705,48180.62743,38787.16543
24/04/2022,BUDGET,cocouae,C555,coco,109977.3645,61783.79443,48172.65273,38798.22147
26/03/2022,BUDGET,cocouae,C555,coco,122534.5378,67194.22596,55317.356,44918.35965
02/04/2022,BUDGET,cocouae,C555,coco,109978.8847,61802.08892,48163.55588,38790.22772
09/04/2022,BUDGET,cocouae,C555,coco,109954.1056,61766.93466,48150.66762,38816.34028
13/04/2022,BUDGET,cocouae,C555,coco,109950.2866,61804.97682,48181.7779,38827.90091
20/04/2022,BUDGET,cocouae,C555,coco,109955.4544,61795.00441,48176.47248,38789.78845
27/04/2022,BUDGET,cocouae,C555,coco,109957.6944,61775.60507,48151.84889,38795.09263
29/03/2022,BUDGET,cocouae,C555,coco,122569.3167,67201.31877,55305.51995,44922.64466
31/03/2022,BUDGET,cocouae,C555,coco,122548.1453,67181.5472,55325.48219,44892.3961
15/04/2022,BUDGET,cocouae,C555,coco,109998.7554,61789.19005,48168.36743,38786.87779
17/04/2022,BUDGET,cocouae,C555,coco,109977.8976,61766.79783,48144.84013,38828.90157
